ranking,score,movie_name,score_num
1,9.6,肖申克的救赎,917119人评价
2,9.5,霸王别姬,661738人评价
3,9.4,这个杀手不太冷,871082人评价
4,9.4,阿甘正传,741088人评价
5,9.5,美丽人生,432714人评价
6,9.2,千与千寻,691352人评价
7,9.4,辛德勒的名单,397697人评价
8,9.2,泰坦尼克号,681413人评价
9,9.3,盗梦空间,790369人评价
10,9.3,机器人总动员,516345人评价
11,9.2,海上钢琴师,617920人评价
12,9.1,三傻大闹宝莱坞,699996人评价
13,9.2,忠犬八公的故事,476143人评价
14,9.2,放牛班的春天,470332人评价
15,9.2,大话西游之大圣娶亲,508635人评价
16,9.2,教父,356412人评价
17,9.1,龙猫,434014人评价
18,9.1,楚门的世界,476722人评价
19,9.2,乱世佳人,279669人评价
20,9.2,熔炉,275138人评价
21,9.1,天堂电影院,318728人评价
22,9.1,触不可及,379673人评价
23,8.9,当幸福来敲门,558145人评价
24,9.0,无间道,415923人评价
25,9.1,星际穿越,504903人评价
26,9.4,十二怒汉,177728人评价
27,9.0,搏击俱乐部,414209人评价
28,8.9,怦然心动,570978人评价
29,9.1,指环王3：王者无敌,293372人评价
30,9.0,少年派的奇幻漂流,596164人评价
31,9.2,鬼子来了,237879人评价
32,9.0,天空之城,343547人评价
33,9.0,蝙蝠侠：黑暗骑士,334272人评价
34,9.1,活着,278169人评价
35,8.9,罗马假日,397007人评价
36,8.9,大话西游之月光宝盒,410531人评价
37,8.9,飞屋环游记,511738人评价
38,9.0,两杆大烟枪,280439人评价
39,9.1,窃听风暴,230100人评价
40,9.0,飞越疯人院,284494人评价
41,9.3,海豚湾,185616人评价
42,8.9,闻香识女人,330637人评价
43,8.8,V字仇杀队,428285人评价
44,9.6,控方证人,94240人评价
45,8.9,哈尔的移动城堡,359296人评价
46,9.1,教父2,191824人评价
47,8.9,美丽心灵,311818人评价
48,8.9,死亡诗社,285385人评价
49,8.9,指环王2：双塔奇兵,276592人评价
50,8.9,指环王1：魔戒再现,309303人评价
51,9.1,辩护人,211449人评价
52,8.8,情书,383946人评价
53,9.2,疯狂动物城,511648人评价
54,9.1,美国往事,179030人评价
55,9.1,饮食男女,203727人评价
56,8.7,天使爱美丽,490958人评价
57,9.0,钢琴家,206723人评价
58,8.9,狮子王,287088人评价
59,8.7,七宗罪,443106人评价
60,8.9,被嫌弃的松子的一生,290720人评价
61,8.8,致命魔术,350449人评价
62,9.2,小鞋子,139861人评价
63,8.8,勇敢的心,299469人评价
64,8.7,剪刀手爱德华,491502人评价
65,8.9,音乐之声,235333人评价
66,9.1,素媛,184013人评价
67,8.8,低俗小说,340104人评价
68,8.7,本杰明·巴顿奇事,399567人评价
69,8.8,黑客帝国,285372人评价
70,8.7,沉默的羔羊,358368人评价
71,8.8,入殓师,322442人评价
72,8.9,拯救大兵瑞恩,241187人评价
73,8.7,西西里的美丽传说,353661人评价
74,8.7,蝴蝶效应,386652人评价
75,8.9,玛丽和马克思,234372人评价
76,8.8,春光乍泄,249317人评价
77,8.7,让子弹飞,629555人评价
78,8.7,心灵捕手,273873人评价
