ranking,score,movie_name,score_num
1,9.4,这个杀手不太冷,871225
2,9.3,盗梦空间,790443
3,9.2,七武士,77220
4,9.1,指环王3：王者无敌,293408
5,9.0,搏击俱乐部,414245
6,9.0,蝙蝠侠：黑暗骑士,334337
7,9.0,将军号,7795
8,8.9,大话西游之月光宝盒,410602
9,8.9,指环王1：魔戒再现,309316
10,8.9,指环王2：双塔奇兵,276618
11,8.9,攻壳机动队,59854
12,8.8,V字仇杀队,428326
13,8.8,勇敢的心,299489
14,8.8,黑客帝国,285411
15,8.8,幽灵公主,237120
16,8.8,乱,33426
17,8.8,用心棒,14038
18,8.8,桥,11686
19,8.8,攻壳机动队SSS,9500
20,8.7,让子弹飞,629619
21,8.7,谍影重重3,180239
22,8.7,英雄本色,159381
23,8.7,纵横四海,143267
24,8.7,东邪西毒：终极版,92055
25,8.7,精英部队2：大敌当前,45369
26,8.7,黑客帝国动画版,30850
27,8.7,蝙蝠侠：黑暗骑士归来(下),15556
28,8.7,铁达尼号沉没记,4922
29,8.6,阿凡达,530598
30,8.6,超能陆战队,361371
31,8.6,加勒比海盗,345489
32,8.6,东邪西毒,248865
33,8.6,枪火,97244
34,8.6,小萝莉的猴神大叔,72630
35,8.6,恶童,47810
36,8.6,宾虚,19054
37,8.6,敲开天堂的门,9023
38,8.6,椿三十郎,8428
39,8.6,西线无战事,7318
40,8.6,碧血金沙,3908
41,8.6,落叶,3788
42,8.6,笔中情,1087
43,8.5,蝙蝠侠：黑暗骑士崛起,290747
44,8.5,被解救的姜戈,255124
45,8.5,疯狂的麦克斯4：狂暴之路,204942
46,8.5,谍影重重,188874
47,8.5,谍影重重2,156646
48,8.5,黑客帝国3：矩阵革命,151837
49,8.5,勇闯夺命岛,139641
50,8.5,终结者2：审判日,138267
51,8.5,黑鹰坠落,107481
52,8.5,启示,45221
53,8.5,午夜狂奔,8084
54,8.5,大菩萨岭,5207
55,8.5,兽兵卫忍风帖,4709
56,8.5,盗信情缘,3627
57,8.5,死亡的游戏,2060
58,8.5,通往自由的通道,1611
59,8.4,王牌特工：特工学院,339673
60,8.4,速度与激情5,211235
61,8.4,变脸,210183
62,8.4,新龙门客栈,178951
63,8.4,黑客帝国2：重装上阵,140775
64,8.4,罪恶之城,135584
65,8.4,角斗士,124241
66,8.4,暗战,114289
67,8.4,神探,106182
68,8.4,黄海,80948
69,8.4,王牌对王牌,64983
70,8.4,盗火线,64869
71,8.4,精武门,14882
72,8.4,杀死比尔整个血腥事件,10615
73,8.4,蜘蛛巢城,8884
74,8.4,侠女,7772
75,8.4,最长的一天,7101
76,8.4,红线,3950
77,8.4,飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,3563
78,8.4,福禄双霸天,1759
79,8.4,忍者小英雄,1050
80,8.3,速度与激情7,259657
81,8.3,金刚狼3：殊死一战,219906
82,8.3,无间道2,158010
83,8.3,买凶拍人,93072
84,8.3,热血警探,87548
85,8.3,笑傲江湖2：东方不败,85545
86,8.3,星球大战,61513
87,8.3,太极旗飘扬,52743
88,8.3,天国王朝,46981
89,8.3,星球大战3：绝地归来,44724
90,8.3,喋血双雄,36574
91,8.3,一个字头的诞生,31135
92,8.3,荒野大镖客,20482
93,8.3,阿基拉,19927
94,8.3,正义联盟：闪点悖论,10693
95,8.3,日落黄沙,4712
96,8.3,胜利之光,4494
97,8.3,战国英豪,3975
98,8.3,菜鸟总动员：毕业,2302
99,8.3,战略大作战,2277
100,8.3,飞出个未来大电影2：万背之兽,2190
101,8.3,孟菲斯美女号,2023
102,8.3,摔角狂热 30,1023
103,8.2,西游记之大圣归来,374163
104,8.2,釜山行,359140
105,8.2,碟中谍4,256506
106,8.2,X战警：逆转未来,251594
107,8.2,第九区,224985
108,8.2,霍比特人3：五军之战,193926
109,8.2,霍比特人2：史矛革之战,193440
110,8.2,蝙蝠侠：侠影之谜,137273
111,8.2,飓风营救,128955
112,8.2,星球大战前传3：西斯的复仇,53952
113,8.2,精武英雄,52307
114,8.2,星球大战2：帝国反击战,48165
115,8.2,最终幻想7：圣子降临,40182
116,8.2,雌雄大盗,23163
117,8.2,猛龙过江,17910
118,8.2,追捕,16278
119,8.2,卡桑德拉大桥,14745
120,8.2,大都会,13624
121,8.2,蝙蝠侠：红影迷踪,6515
122,8.2,白色严冬,6462
123,8.2,奏鸣曲,6338
