store_name,store_location,goods_name,price,sales,month_sales,reviews,star_rating,store_rating,decribe_score,attitude_score,logistics_score
资慕服饰旗舰店,江苏 苏州,【4件】长袖t恤男士圆领秋衣冬季衣服卫衣秋装加绒打底衫保暖上衣,79.90,49628人收货,59915,114133,,,,,
厦门喜简,福建 厦门,加绒棉质紧身打底衫女长袖t恤黑色修身白色加厚保暖秋冬秋衣学生,19.80,36908人收货,未知,137666,,,,,
领堤旗舰店,江苏 苏州,长袖T恤男圆领保暖衣服打底衫青年加绒加厚毛衣男士卫衣秋衣上衣,23.90,36441人收货,57707,128727,,,,,
古莱沃曼旗舰店,广东 东莞,男士长袖T恤打底衫纯色圆领白色加绒加厚体恤修身冬季保暖上衣服,29.90,28502人收货,52398,215925,,,,,
九赛狼旗舰店,江苏 苏州,冬季长袖T恤男圆领韩版加绒卫衣学生衣服修身保暖打底衫秋衣男装,49.00,28414人收货,36320,69877,,,,,
唐帝男装旗舰店,江苏 苏州,男士t恤长袖加绒加厚上衣服 男装冬季保暖秋衣青少年卫衣打底小衫,58.00,27434人收货,39213,94462,,,,,
杜克恩旗舰店,广东 广州,2件】长袖t恤男纯棉秋季薄款秋衣宽松圆领青年纯色白色男士打底衫,69.00,25952人收货,35461,45872,,,,,
帅咖旗舰店,福建 厦门,4件】卫衣长袖T恤男士秋衣打底衫保暖韩版冬装加绒体恤衣服上衣潮,79.00,25300人收货,34477,36392,,,,,
t7t7旗舰店,江苏 苏州,秋冬季加绒加厚长袖t恤男士圆领卫衣潮男装保暖上衣服学生打底衫,59.00,25231人收货,33641,21810,,,,,
xiao清新女装,山东 青岛,2017秋冬加绒打底衫女装加厚T恤大码纯棉上衣修身保暖衣长袖绒衫,39.90,25088人收货,未知,17607,,,,,
云海梦服饰专营店,福建 泉州,长袖T恤男士上衣服圆领秋衣学生韩版冬季加绒保暖卫衣打底衫秋装,69.00,23413人收货,30178,59685,,,,,
haha04305175,广东 广州,秋冬韩版百搭高领黑白条纹长袖t恤女学生宽松上衣显瘦原宿打底衫,19.98,23325人收货,未知,114258,,,,,
小宅女大购物,广东 广州,秋季纯色半高领紧身针织衫套头薄款修身打底衫百搭长袖T恤女上衣,16.96,22785人收货,未知,67350,,,,,
